1	 μαρτύρων μὲν οὐκ ἀπορίαν μοι ἔσεσθαι δοκῶ, ὦ ἄνδρες δικασταί· πολλοὺς γὰρ ὑμῶν ὁρῶ δικάζοντας τῶν τότε παρόντων, ὅτε Λυσίθεος Θεόμνηστον εἰσήγγελλε τὰ ὅπλα ἀποβεβληκότα, οὐκ ἐξὸν αὐτῷ, δημηγορεῖν· ἐν ἐκείνῳ γὰρ τῷ ἀγῶνι τὸν πατέρα μʼ ἔφασκεν ἀπεκτονέναι τὸν ἐμαυτοῦ. ἐγὼ δʼ, 
2	εἰ μὲν τὸν ἑαυτοῦ με ἀπεκτονέναι ᾐτιᾶτο, συγγνώμην ἂν εἶχον αὐτῷ τῶν εἰρημένων (φαῦλον γὰρ αὐτὸν καὶ οὐδενὸς ἄξιον ἡγούμην)· οὐδʼ εἴ τι ἄλλο τῶν ἀπορρήτων ἤκουσα, οὐκ ἂν ἐπεξῆλθον αὐτῷ (ἀνελευθέρου γὰρ καὶ λίαν φιλοδίκου ἀνελευθέρου φιλοδίκου Markland: —ον —ον MSS. εἶναι νομίζω κακηγορίας δικάζεσθαι)· 
3	νυνὶ δὲ αἰσχρόν μοι εἶναι δοκεῖ τοῦ πατρός, οὕτω πολλοῦ ἀξίου γεγενημένου καὶ ὑμῖν καὶ τῇ πόλει, μὴ τιμωρήσασθαι τὸν ταῦτʼ εἰρηκότα, καὶ παρʼ ὑμῶν εἰδέναι βούλομαι πότερον δώσει δίκην, ἢ τούτῳ μόνῳ Ἀθηναίων ἐξαίρετόν ἐστι καὶ ποιεῖν καὶ λέγειν παρὰ τοὺς νόμους ὅ τι ἂν βούληται. 
4	 ἐμοὶ γάρ, ὦ ἄνδρες δικασταί, ἔτη ἐστὶ δύο καὶ δύο καὶ add. Contius τριάκοντα, ἐξ ὅτου δʼ δʼ add. Markland ὑμεῖς κατεληλύθατε, εἰκοστὸν τουτί. φαίνομαι οὖν τρισκαιδεκέτης ὢν ὅτε ὁ πατὴρ ὑπὸ τῶν τριάκοντα ἀπέθνησκε. ταύτην δὲ ἔχων τὴν ἡλικίαν οὔτε τί τί Ziel: εἰ MSS. ἔστιν ὀλιγαρχία ἠπιστάμην, οὔτε ἂν ἐκείνῳ ἀδικουμένῳ ἐδυνάμην βοηθῆσαι. 
5	καὶ μὲν δὴ οὐκ ὀρθῶς τῶν χρημάτων ἕνεκα ἐπεβούλευσα ἂν ἂν add. Markland αὐτῷ· ὁ γὰρ πρεσβύτερος ἀδελφὸς Πανταλέων ἅπαντα παρέλαβε, καὶ ἐπιτροπεύσας ἡμᾶς τῶν πατρῴων ἀπεστέρησεν, ὥστε πολλῶν ἕνεκα, ὦ ἄνδρες δικασταί, προσήκει μοι αὐτὸν βούλεσθαι ζῆν. ἀνάγκη μὲν οὖν περὶ αὐτῶν μνησθῆναι, οὐδὲν δὲ δεῖ πολλῶν λόγων· σχεδὸν γὰρ γὰρ add. Reiske ἐπίστασθε ἅπαντες ὅτι ἀληθῆ λέγω. ὅμως δὲ μάρτυρας αὐτῶν παρέξομαι. 
6	Μάρτυρες ἴσως τοίνυν, ὦ ἄνδρες δικασταί, περὶ τούτων μὲν οὐδὲν ἀπολογήσεται, ἐρεῖ δὲ πρὸς ὑμᾶς ἅπερ ἐτόλμα λέγειν καὶ πρὸς τὸν διαιτητήν, ὡς οὐκ ἔστι τῶν ἀπορρήτων, ἐάν τις εἴπῃ τὸν πατέρα ἀπεκτονέναι· τὸν γὰρ νόμον οὐ ταῦτʼ ἀπαγορεύειν, ἀλλʼ ἀνδροφόνον οὐκ ἐᾶν λέγειν. 
7	ἐγὼ δὲ οἶμαι ὑμᾶς, ὦ ἄνδρες δικασταί, οὐ περὶ τῶν ὀνομάτων διαφέρεσθαι ἀλλὰ τῆς τούτων διανοίας, καὶ πάντας εἰδέναι, ὅτι ὅσοι ἀπεκτόνασί τινας, καὶ ἀνδροφόνοι εἰσί, καὶ ὅσοι ἀπεκτόνασί ὅσοι add. Auger ἀνδροφόνοι εἰσί, καὶ ἀπεκτόνασί τινας. πολὺ γὰρ ἔργον ἦν τῷ νομοθέτῃ ἅπαντα τὰ ὀνόματα γράφειν ὅσα τὴν αὐτὴν δύναμιν ἔχει· ἀλλὰ περὶ ἑνὸς εἰπὼν περὶ πάντων ἐδήλωσεν. 
8	οὐ γὰρ δήπου, ὦ Θεόμνηστε, εἰ μέν τίς σε εἴποι πατραλοίαν ἢ μητραλοίαν, ἠξίους ἂν αὐτὸν ὀφλεῖν σοι δίκην, εἰ δέ τις εἴποι ὡς τὴν τεκοῦσαν ἢ τὸν φύσαντα ἔτυπτες, ᾤου ἂν αὐτὸν ἀζήμιον δεῖν εἶναι ὡς οὐδὲν τῶν ἀπορρήτων εἰρηκότα.
9	ἡδέως γὰρ ἄν σου πυθοίμην (περὶ τοῦτο γὰρ δεινὸς εἶ καὶ μεμελέτηκας καὶ ποιεῖν καὶ λέγειν)· εἴ τίς σε εἴποι ῥῖψαι τὴν ἀσπίδα (ἐν δὲ τῷ νόμῳ εἴρηται, εἴρηται Dobree: εἴρητο MSS. ἐάν τις φάσκῃ ἀποβεβληκέναι, ὑπόδικον εἶναι ), οὐκ ἂν ἐδικάζου αὐτῷ ἀλλʼ ἐξήρκει ἄν σοι ἐρριφέναι τὴν ἀσπίδα λέγοντι οὐδέν σοι μέλειν; 
10	οὐδὲ γὰρ τὸ αὐτό ἐστι ῥῖψαι καὶ ἀποβεβληκέναι· ἀλλʼ οὐδʼ ἂν τῶν ἕνδεκα γενόμενος ἀποδέξαιο, εἴ τις ἀπάγοι τινὰ φάσκων θοἰμάτιον ἀποδεδύσθαι ἢ τὸν χιτωνίσκον ἐκδεδύσθαι, ἀλλʼ ἀφείης ἂν τὸν αὐτὸν τρόπον, ὅτι οὐ λωποδύτης ὀνομάζεται. οὐδʼ εἴ τις παῖδα ἐξαγαγὼν ληφθείη, οὐκ ἂν φάσκοις αὐτὸν ἀνδραποδιστὴν εἶναι, εἴπερ μαχεῖ τοῖς ὀνόμασιν, ἀλλὰ μὴ τοῖς ἔργοις τὸν νοῦν προσέξεις, ὧν ἕνεκα τὰ ὀνόματα πάντες τίθενται.
